rank,slug,name,geography,website_url,in_schools_yaml,notes
1,wharton,Wharton (UPenn),Northeast,https://www.wharton.upenn.edu,yes,
2,utdallas-jindal,UT Dallas Jindal,South,https://jsom.utdallas.edu,no,
3,columbia-cbs,Columbia Business School,Northeast,https://business.columbia.edu,yes,
4,harvard-hbs,Harvard Business School,Northeast,https://www.hbs.edu,yes,
5,chicago-booth,Chicago Booth,Midwest,https://www.chicagobooth.edu,yes,
6,nyu-stern,NYU Stern,Northeast,https://www.stern.nyu.edu,yes,
7,usc-marshall,USC Marshall,West Coast,https://www.marshall.usc.edu,no,
8,mit-sloan,MIT Sloan,Northeast,https://mitsloan.mit.edu,yes,
9,insead,INSEAD,International,https://www.insead.edu,no,
10,indiana-kelley,Indiana Kelley,Midwest,https://kelley.iu.edu,no,
11,stanford-gsb,Stanford GSB,West Coast,https://www.gsb.stanford.edu,no,
12,texas-mccombs,Texas McCombs,South,https://www.mccombs.utexas.edu,no,
13,cornell-johnson,Cornell Johnson,Northeast,https://www.johnson.cornell.edu,no,
14,toronto-rotman,Toronto Rotman,International,https://www.rotman.utoronto.ca,no,Canada
15,hku-business,HKU Business School,International,https://www.hkubs.hku.hk,no,Hong Kong
16,wustl-olin,WashU Olin,Midwest,https://olin.wustl.edu,no,
17,uw-foster,UW Foster,West Coast,https://foster.uw.edu,no,
18,lbs,London Business School,International,https://www.london.edu,no,UK
19,michigan-ross,Michigan Ross,Midwest,https://michiganross.umich.edu,yes,
20,asu-wpcarey,ASU W.P. Carey,West Coast,https://wpcarey.asu.edu,no,
21,duke-fuqua,Duke Fuqua,South,https://www.fuqua.duke.edu,yes,
22,unc-kenan-flagler,UNC Kenan-Flagler,South,https://www.kenan-flagler.unc.edu,yes,
23,minnesota-carlson,Minnesota Carlson,Midwest,https://carlsonschool.umn.edu,no,
24,ohio-state-fisher,Ohio State Fisher,Midwest,https://fisher.osu.edu,no,
25,penn-state-smeal,Penn State Smeal,Northeast,https://www.smeal.psu.edu,no,
26,northwestern-kellogg,Northwestern Kellogg,Midwest,https://www.kellogg.northwestern.edu,yes,
27,hkust-business,HKUST Business School,International,https://bm.hkust.edu.hk,no,Hong Kong
28,nus-business,NUS Business School,International,https://bschool.nus.edu.sg,no,Singapore
29,maryland-smith,Maryland Smith,South,https://www.rhsmith.umd.edu,no,
30,illinois-gies,Illinois Gies,Midwest,https://giesbusiness.illinois.edu,no,
31,cuhk-business,CUHK Business School,International,https://www.bschool.cuhk.edu.hk,no,Hong Kong
32,purdue-krannert,Purdue Krannert,Midwest,https://krannert.purdue.edu,no,
33,texas-am-mays,Texas A&M Mays,South,https://mays.tamu.edu,no,
34,yale-som,Yale SOM,Northeast,https://som.yale.edu,no,
35,ucla-anderson,UCLA Anderson,West Coast,https://www.anderson.ucla.edu,yes,
36,cityu-hk-business,City University of Hong Kong Business,International,https://www.cb.cityu.edu.hk,no,Hong Kong
37,rsm-erasmus,Rotterdam School of Management,International,https://www.rsm.nl,no,Netherlands
38,polyu-business,Hong Kong PolyU Business,International,https://www.polyu.edu.hk/af,no,Hong Kong
39,bu-questrom,BU Questrom,Northeast,https://www.bu.edu/questrom,no,
40,notre-dame-mendoza,Notre Dame Mendoza,Midwest,https://mendoza.nd.edu,no,
